State Obbreviation	XCoordinate	Ycoordinate	State	Population 2010	Population 2014	Population 2018
AL	439	270	.Alabama	4785448.00	4842481.00	4887871.00
AK	94	325	.Alaska	713906.00	736307.00	737438.00
AR	368	247	.Arkansas	2921978.00	2967726.00	3013825.00
AZ	148	241	.Arizona	6407774.00	6733840.00	7171646.00
CA	56	176	.California	37320903.00	38625139.00	39557045.00
CO	220	183	.Colorado	5048281.00	5351218.00	5695564.00
CT	576	120	.Connecticut	3579125.00	3594783.00	3572665.00
DE	556	166	.Delaware	899595.00	932596.00	967171.00
FL	510	331	.Florida	18845785.00	19860330.00	21299325.00
GA	478	267	.Georgia	9711810.00	10069001.00	10519475.00
HI	232	380	.Hawaii	1363963.00	1414862.00	1420491.00
IA	357	147	.Iowa	3050767.00	3109504.00	3156145.00
ID	143	101	.Idaho	1570773.00	1631479.00	1754208.00
IL	405	168	.Illinois	12840762.00	12888962.00	12741080.00
IN	437	165	.Indiana	6490436.00	6593533.00	6691878.00
KS	302	194	.Kansas	2858213.00	2900896.00	2911505.00
KY	453	203	.Kentucky	4348200.00	4414483.00	4468402.00
LA	371	302	.Louisiana	4544532.00	4644204.00	4659978.00
MA	581	108	.Massachusetts	6566431.00	6763652.00	6902149.00
MD	538	162	.Maryland	5788642.00	5958165.00	6042718.00
ME	595	59	.Maine	1327632.00	1330760.00	1338404.00
MI	446	120	.Michigan	9877535.00	9930589.00	9995915.00
MN	339	86	.Minnesota	5310843.00	5451522.00	5611179.00
MO	365	197	.Missouri	5995976.00	6056293.00	6126452.00
MS	406	274	.Mississippi	2970536.00	2990623.00	2986530.00
MT	194	61	.Montana	990722.00	1021891.00	1062305.00
NC	519	221	.North Carolina	9574293.00	9933944.00	10383620.00
ND	283	65	.North Dakota	674710.00	737382.00	760077.00
NE	286	151	.Nebraska	1829536.00	1879522.00	1929268.00
NH	580	89	.New Hampshire	1316777.00	1333223.00	1356458.00
NJ	561	143	.New Jersey	8799624.00	8866780.00	8908520.00
NM	208	245	.New Mexico	2064588.00	2090342.00	2095428.00
NV	102	157	.Nevada	2702464.00	2819012.00	3034392.00
NY	541	107	.New York	19400080.00	19656330.00	19542209.00
OH	472	160	.Ohio	11539327.00	11602973.00	11689442.00
OK	309	239	.Oklahoma	3759632.00	3878367.00	3943079.00
OR	74	86	.Oregon	3837532.00	3964106.00	4190713.00
PA	523	144	.Pennsylvania	12711158.00	12789101.00	12807060.00
RI	589	117	.Rhode Island	1053938.00	1056017.00	1057315.00
SC	506	251	.South Carolina	4635656.00	4823793.00	5084127.00
SD	286	109	.South Dakota	816165.00	849088.00	882235.00
TN	441	229	.Tennessee	6355301.00	6540826.00	6770010.00
TX	291	299	.Texas	25242679.00	26977142.00	28701845.00
UT	154	171	.Utah	2775334.00	2937399.00	3161105.00
VA	529	189	.Vermont	625880.00	625218.00	626299.00
VT	567	86	.Virginia	8023680.00	8312076.00	8517685.00
WA	92	38	.Washington	6742902.00	7052439.00	7535591.00
WI	392	103	.Wisconsin	5690479.00	5751974.00	5813568.00
WV	496	178	.West Virginia	1854214.00	1849467.00	1805832.00
WY	207	125	.Wyoming	564483.00	582548.00	577737.00
